@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
1,0.753982,7.924996,0.71067,0.694904,0.000002,notBlood
1,0.628319,10.411532,0.71067,0.713435,0.000002,notBlood
1,0.775702,5.3066,0.711663,0.270682,0.000002,notBlood
1,0.610865,0.755929,0.711166,0.849107,0.000002,notBlood
1,0.436332,6.8,0.711663,0.29186,0.000002,notBlood
0.918033,0.530212,14.000658,0.716625,0.461946,0.000052,notBlood
1,0.775702,7.391887,0.712159,0.690271,0.000002,notBlood
1,0.879646,4.337779,0.713151,0.681668,0.000002,notBlood
1,0.897598,1.592393,0.713648,0.851092,0.000005,notBlood
1,0.753982,9.339284,0.713151,0.730642,0.000002,notBlood
1,0.441786,2.960647,0.713151,0.80278,0.000003,notBlood
1,0.523599,2.687419,0.714144,0.645268,0.000002,notBlood
1,0.775702,8.099383,0.714144,0.764394,0.000002,notBlood
0.923077,0.446143,2.211083,0.713648,0.818663,0.000002,notBlood
0.928571,0.705255,9.845081,0.716129,0.6863,0.000004,notBlood
0.909091,0.675053,10.183814,0.717122,0.590338,0.000009,notBlood
1,0.830834,4.898979,0.717122,0.68233,0.000003,notBlood
1,0.775702,0.489898,0.717122,0.86499,0.000002,notBlood
1,0.670206,7.372528,0.718114,0.698213,0.000004,notBlood
1,0.641141,4.450843,0.71861,0.579749,0.000003,notBlood
1,0.775702,6.645299,0.720099,0.604897,0.000002,notBlood
1,0.817929,2.831348,0.720596,0.700199,0.000004,notBlood
1,0.753982,0.57735,0.720596,0.867637,0.000002,notBlood
1,0.534071,11.194722,0.721588,0.688286,0.000006,notBlood
0.947368,0.348099,10.514752,0.721588,0.704169,0.000003,notBlood
0.916667,0.610865,7.219588,0.721588,0.694904,0.000002,notBlood
1,0.743572,1.004988,0.723077,0.869623,0.000003,notBlood
1,0.483322,8.839462,0.725062,0.784249,0.000009,notBlood
1,0.800627,9.063732,0.725558,0.797485,0.000008,notBlood
1,0.724983,8.326032,0.725062,0.80675,0.000013,notBlood
1,0.698132,7.983381,0.725062,0.713435,0.000003,notBlood
0.857143,0.484418,7.284149,0.726551,0.778954,0.000006,notBlood
1,0.775702,3.762978,0.725062,0.089345,0.000002,notBlood
1,0.577027,11.113333,0.726055,0.654533,0.000003,notBlood
0.810811,0.23866,5.753311,0.727543,0.61681,0.000009,notBlood
1,0.608752,9.89666,0.726551,0.647253,0.000005,notBlood
1,0.659734,7.428877,0.726551,0.734613,0.000007,notBlood
1,0.775702,8.546344,0.726055,0.628061,0.000002,notBlood
1,0.628319,0.748331,0.726551,0.870285,0.000002,notBlood
1,0.670206,9.60324,0.72804,0.629385,0.000004,notBlood
1,0.520501,0.880631,0.728536,0.868961,0.000002,notBlood
1,0.623126,8.896004,0.728536,0.647915,0.000002,notBlood
0.675926,0.183152,8.217131,0.73598,0.727333,0.000056,notBlood
0.857143,0.512913,2.331845,0.730025,0.732627,0.000003,notBlood
